Year,Region,Soil_pH,Soil_Moisture(%),Nitrogen(N),Phosphorus(P),Potassium(K),Rainfall(mm),Temperature(°C),Humidity(%),Crop,Yield(kg/ha),Market_Price(₹/quintal)
2016,Tamil Nadu,5.69,29.1,399,109,259,1366.7,27.1,63.0,Pulses,3748.1,5265.0
2013,Tamil Nadu,6.18,34.3,144,129,138,802.4,31.5,74.8,Maize,5152.7,1233.0
2022,UP,5.52,21.7,201,76,61,1009.8,28.8,72.9,Pulses,1343.6,4098.0
2024,Tamil Nadu,6.95,14.7,360,20,192,1172.2,29.9,61.3,Maize,3121.5,3810.0
2020,Bihar,4.83,6.3,186,82,108,245.3,34.6,79.3,Cotton,1413.1,2730.0
2017,Tamil Nadu,4.52,32.7,296,74,203,1363.4,27.0,55.9,Maize,3573.3,2576.0
2022,UP,7.01,32.6,292,134,282,1318.2,16.0,83.8,Rice,5494.5,4859.0
2014,UP,5.28,12.6,80,72,158,794.7,19.1,34.3,Rice,4912.4,1432.0
2016,Bihar,4.78,25.9,89,76,75,708.5,26.0,87.3,Wheat,2139.2,2184.0
2019,Maharashtra,6.09,7.3,278,136,96,554.8,33.1,69.3,Rice,5880.0,4662.0
2012,Maharashtra,4.7,10.0,85,54,81,819.7,29.8,52.8,Soybean,4336.8,3742.0
2016,Tamil Nadu,8.05,11.5,272,82,59,257.7,31.3,41.8,Maize,1052.1,1640.0
2020,Punjab,4.61,13.8,55,44,65,1307.9,27.0,58.8,Rice,2277.1,5411.0
2020,Tamil Nadu,6.82,34.9,371,109,248,246.0,30.4,41.7,Cotton,2303.6,2967.0
2017,Bihar,6.25,25.9,269,94,194,627.8,23.2,40.0,Pulses,1346.3,5139.0
2014,Bihar,7.19,16.5,124,57,200,1411.1,26.8,67.0,Groundnut,5799.1,4939.0
2013,Bihar,5.81,27.1,53,149,75,1155.8,33.6,61.4,Pulses,3391.3,4122.0
2017,Bihar,5.12,32.5,384,110,262,565.8,36.8,70.2,Wheat,5479.1,3472.0
